subcellular_location,count
"Nucleus:Cytoplasm:Chromosome, telomere:Nucleus, Cajal body:Nucleus, PML body",1
"Nucleus:Cytoplasm:Chromosome, telomere:Nucleus, Cajal body:Nucleus, PML body:Nucleus:Cytoplasm",1
"Plastid, chloroplast stroma:Plastid, chloroplast",1
"Nucleus:Cytoplasm:Cytoplasm, P-body:Cytoplasm, Stress granule:Endosome:Lysosome:Cytoplasmic vesicle, autophagosome:Secreted:Cell projection, axon:Cell projection, growth cone:Perikaryon:Perikaryon:Cell projection, dendrite:Presynapse:Postsynapse",1
Nucleus:Cytoplasm:Chromosome:Cell membrane:Endosome:Endoplasmic reticulum-Golgi intermediate compartment:Secreted,1
"Plastid, chloroplast stroma:Plastid stroma",1
"Cell junction:Apical cell membrane:Basolateral cell membrane:Cytoplasmic vesicle:Cytoplasm:Cytoplasm, perinuclear region:Recycling endosome",1
"Plastid, chloroplast stroma:Peroxisome",1
"Nucleus:Cytoplasm:Cytolytic granule:Cytoplasm, Stress granule",1
"Plastid, chloroplast stroma:Mitochondrion matrix:Mitochondrion inner membrane",1
"Cell membrane:Cell membrane:Cell projection, dendrite:Postsynaptic density membrane:Cell projection, axon:Cell membrane, sarcolemma",1
"Cell membrane:Cell membrane:Cell projection, axon:Cell projection, growth cone:Synapse:Presynaptic cell membrane:Synapse, synaptosome",1
Cell membrane:Cell membrane:Cell membrane:Secreted:Secreted:Secreted:Secreted,1
"Nucleus:Cytoplasm:Cell projection, microvillus membrane",1
"Nucleus:Cytoplasm:Cell projection, growth cone",1
"Plastid, chloroplast stroma:Plastid, chromoplast",1
"Nucleus:Cytoplasm:Cell projection, dendrite:Synapse:Nucleus matrix",1
"Plastid, chloroplast thylakoid membrane:Plastid, chloroplast, plastoglobule",1
Nucleus:Cytoplasm:Cell projection,1
"Cell junction, tight junction:Cell membrane:Cell junction, tight junction:Cell membrane:Endoplasmic reticulum:Cell junction, tight junction:Cell membrane:Endoplasmic reticulum:Endoplasmic reticulum",1
"Plastid, chloroplast thylakoid membrane:Plastid, chloroplast membrane:Plastid, chloroplast envelope",1
"Nucleus:Cytoplasm:Cell projection, axon:Cell projection, dendrite:Cell projection, cilium",1
"Cell junction, tight junction:Cell membrane:Endoplasmic reticulum membrane",1
"Plastid, chloroplast thylakoid membrane:Plastid, chloroplast envelope",1
"Plastid, chloroplast thylakoid membrane:Mitochondrion inner membrane",1
Cell membrane:Cell membrane:Membrane:Membrane:Postsynaptic cell membrane:Synaptic cell membrane,1
"Cell junction, tight junction:Cytoplasm, cytoskeleton, spindle:Cytoplasmic vesicle:Vesicle",1
"Nucleus:Cytoplasm:Cell projection, cilium:Basolateral cell membrane:Lateral cell membrane:Cell membrane:Apical cell membrane:Membrane:Early endosome:Cytoplasmic vesicle membrane:Endosome membrane:Secreted:Secreted, extracellular space:Cell membrane:Secreted, extracellular exosome:Cytoplasmic vesicle, secretory vesicle lumen:Cell projection, phagocytic cup",1
"Nucleus:Cytoplasm:Cell projection, cilium:Basolateral cell membrane:Lateral cell membrane:Cell membrane:Apical cell membrane:Membrane:Endosome membrane:Secreted:Secreted, extracellular space:Cell membrane:Early endosome:Cytoplasmic vesicle membrane:Secreted, extracellular exosome:Cytoplasmic vesicle, secretory vesicle lumen:Cell projection, phagocytic cup",1
"Nucleus:Cytoplasm:Cell projection, cilium:Cell membrane:Membrane:Endosome membrane:Basolateral cell membrane:Apical cell membrane:Lateral cell membrane:Secreted:Secreted, extracellular space:Cell membrane:Secreted, extracellular exosome:Cytoplasmic vesicle, secretory vesicle lumen:Cell projection, phagocytic cup:Early endosome:Cytoplasmic vesicle membrane",1
"Cell junction, tight junction:Cytoplasm:Membrane",1
"Nucleus:Cytoplasm:Cell projection, cilium:Nucleus:Nucleus",1
Cell membrane:Cell membrane:Membrane raft:Cell junction:Cell junction,1
"Nucleus:Cytoplasm:Cell projection, dendrite:Cell projection, axon:Cell projection, cilium",1
Cell membrane:Cell membrane:Membrane,1
"Cell junction, tight junction:Endomembrane system",1
"Nucleus:Cytoplasm:Cytoplasm, P-body:Cytoplasm, Stress granule:Endosome:Lysosome:Cytoplasmic vesicle, autophagosome:Secreted:Cell projection, axon:Cell projection, growth cone:Perikaryon",1
"Nucleus:Cytoplasm:Cytoplasm, P-body:Cytoplasm, Stress granule:Endosome:Lysosome:Cytoplasmic vesicle, autophagosome:Secreted:Cell projection, axon:Cell projection, growth cone:Perikaryon:Perikaryon:Cell projection, dendrite:Presynapse:Postsynapse:Nucleus membrane:Nucleus",1
Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cytoplasm,1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, phragmoplast",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, phragmoplast",1
Cell membrane:Cell membrane:Cell membrane:Cell membrane:Secreted:Secreted,1
Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Secreted:Secreted:Secreted:Secreted:Secreted:Secreted:Secreted,1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cytoskeleton, phragmoplast",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle pole:Midbody",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle pole:Midbody:Chromosome",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Chromosome, centromere, kinetochore",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Cleavage furrow:Midbody:Cell junction:Cell junction, tight junction",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Cleavage furrow:Midbody:Cell junction:Cell junction, tight junction:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, phragmoplast:Cytoplasm, cell cortex",1
"Nucleus:Cytoplasm:Cytoplasm, P-body:Cytoplasmic granule",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, phragmoplast:Cytoplasm, cell cortex:Cell junction, plasmodesma",1
"Plastid, chloroplast outer membrane:Plastid, etioplast membrane",1
"Plastid, chloroplast outer membrane:Plastid, chloroplast thylakoid membrane",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, spindle",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, spindle pole",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton:Cytoplasm, myofibril, sarcomere, Z line:Cell junction, focal adhesion",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton:Cytoplasm, myofibril, sarcomere, Z line:Cell junction, focal adhesion:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton:Cytoplasm, myofibril, sarcomere, Z line:Cytoplasm, myofibril, sarcomere:Cytoplasm, myofibril, sarcomere, Z line",1
"Plastid, chloroplast outer membrane:Mitochondrion outer membrane:Mitochondrion inner membrane",1
Cell junction:Cell membrane:Cytoplasmic vesicle:Cytoplasm:Recycling endosome,1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle:Midbody:Cell projection, cilium, photoreceptor outer segment:Photoreceptor inner segment",1
"Cell junction:Cell membrane:Cell projection, ruffle:Cytoplasm, myofibril, sarcomere, Z line:Membrane",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle:Cytoplasmic granule",1
"Nucleus:Cytoplasm:Cytoplasm, P-body:Rough endoplasmic reticulum membrane:Cytoplasmic granule",1
Cell membrane:Cell membrane:Cell membrane:Secreted:Secreted,1
"Nucleus:Cytoplasm:Cytoplasm, Stress granule:Cytolytic granule",1
Cell membrane:Cell membrane:Cell membrane:Secreted:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Cell membrane:Secreted:Secreted:Secreted:Secreted:Secreted:Cell membrane:Cell membrane:Secreted:Secreted:Secreted,1
"Cell junction:Cell junction, focal adhesion:Cell membrane",1
"Nucleus:Cytoplasm:Cytoplasm, U-body:Nucleus speckle:Nucleus, Cajal body",1
"Nucleus:Cytoplasm:Cytoplasm, U-body:Nucleus, gem",1
"Nucleus:Cytoplasm:Cytoplasm, cell cortex",1
"Nucleus:Cytoplasm:Cytoplasm, cell cortex:Cleavage furrow",1
"Cell junction:Cell membrane:Cell projection, dendrite:Cell projection, dendritic spine:Membrane:Perikaryon:Postsynaptic cell membrane:Synapse:Synaptic cell membrane",1
"Plastid, chloroplast stroma:Endoplasmic reticulum",1
"Plastid, chloroplast stroma:Cell membrane",1
Cell membrane:Cell membrane:Cell membrane:Cytoplasm:Cytoplasm:Cytoplasm:Cytoplasm:Cytoplasm,1
"Plastid, chloroplast stroma, chloroplast nucleoid:Plastid, chloroplast thylakoid membrane",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center",1
Cell membrane:Cell membrane:Cell membrane:Cell membrane:Secreted:Secreted:Secreted:Secreted:Secreted:Secreted:Secreted:Secreted,1
"Plastid, chloroplast stroma, chloroplast nucleoid:Plastid stroma:Plastid, chloroplast stroma",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Cell projection, cilium",1
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Chromosome, centromere, kinetochore:Chromosome",1
"Nucleus:Cytoplasm:Nucleus, nucleolus:Cytoplasm:Nucleus, PML body:Nucleus, Cajal body",1
"Nucleus:Cytoplasm:Nucleus, nucleolus:Nucleus, Cajal body:Nucleus, PML body",1
"Plastid, chloroplast thylakoid membrane:Plastid, chromoplast membrane",1
"Nucleus:Nucleus:Chromosome, centromere, kinetochore:Mitochondrion",1
"Nucleus:Nucleus matrix:Nucleus lamina:Nucleus envelope:Nucleus membrane:Nucleus, nuclear pore complex:Cytoplasm, cytoskeleton, spindle:Chromosome, centromere, kinetochore:Midbody",1
Nucleus:Nucleus:Cytoplasm:Nucleus:Cytoplasm,1
"Nucleus:Nucleus matrix:Nucleus, nucleolus:Cytoplasm",1
Nucleus:Nucleus membrane,1
Cell membrane:Basolateral cell membrane:Cell membrane:Cell membrane,1
"Nucleus:Nucleus:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Midbody:Chromosome, telomere",1
Cell membrane:Basolateral cell membrane:Cell membrane:Apical cell membrane:Basolateral cell membrane,1
"Cell membrane:Basolateral cell membrane:Cell junction, tight junction:Cell junction, adherens junction:Secreted:Secreted:Secreted",1
Nucleus:Nucleus:Chromosome:Cytoplasm,1
"Nucleus:Nucleus membrane:Nucleus, nuclear pore complex:Chromosome:Cytoplasm, cytoskeleton, spindle",1
Nucleus:Nucleus matrix:Cytoplasm,1
"Cell membrane:Apical cell membrane:Cell junction, adherens junction:Cell projection, cilium:Cell membrane:Cell membrane:Endoplasmic reticulum:Endoplasmic reticulum:Endoplasmic reticulum",1
Cell membrane:Apical cell membrane:Cell membrane,1
"Nucleus:Nucleus membrane:Nucleus, nuclear pore complex:Nucleus envelope",1
"Cell membrane:Basolateral cell membrane:Cell junction, tight junction:Cell junction, adherens junction:Secreted",1
"Nucleus:Nucleus, nucleoplasm:Nucleus, nucleolus:Cytoplasm",1
"Nucleus:Nucleus, nucleoplasm:Nucleus, Cajal body:Chromosome, centromere:Cytoplasm, cytoskeleton, spindle:Cytoplasm",1
"Nucleus:Nucleus, nucleoplasm:Nucleus speckle:Nucleus, nuclear pore complex:Nucleus envelope:Cytoplasm:Cytoplasm, Stress granule",1
"Nucleus:Nucleus, nucleoplasm:Nucleus matrix:Chromosome:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cell cortex:Cell membrane:Lateral cell membrane:Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cytosol:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole",1
Nucleus:Nucleus speckle:Cytoplasm:Cytoplasm:Cytoplasm,1
"Nucleus:Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Nucleus:Nucleus, nucleoplasm:Cytoplasm:Cytoplasmic granule:Secreted, extracellular exosome",1
"Nucleus:Nucleus:Cytoplasm:Secreted, extracellular space",1
"Cell membrane:Cell junction, paranodal septate junction",1
"Nucleus:Nucleus inner membrane:Nucleus envelope:Nucleus lamina:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm",1
"Nucleus:Nucleus envelope:Cytoplasm, cytoskeleton:Cell membrane",1
"Nucleus:Plastid, apicoplast",1
"Nucleus:Nucleus envelope:Cytoplasm:Cytoplasm, cytoskeleton",1
"Nucleus:Nucleus envelope:Cytoplasm:Cytoplasm, cytoskeleton, spindle",1
"Nucleus:Nucleus envelope:Cytoplasm:Cytoplasm, cytoskeleton:Rough endoplasmic reticulum:Golgi apparatus:Zymogen granule",1
"Nucleus:Nucleus envelope:Nucleus membrane:Nucleus matrix:Cytoplasm, cell cortex:Cytoplasm, cytoskeleton:Cell membrane:Cell projection, dendrite:Synapse:Synapse, synaptosome:Postsynaptic density:Membrane",1
Cell membrane:Basolateral cell membrane:Cytoplasm:Mitochondrion:Cytoplasm,1
Cell membrane:Apical cell membrane:Basolateral cell membrane:Synapse,1
Cell membrane:Basolateral cell membrane:Cytoplasm:Mitochondrion,1
Nucleus:Perikaryon,1
"Cell membrane:Apical cell membrane:Cell junction, adherens junction",1
"Nucleus:Nucleus:Nucleus:Nucleus:Nucleus:Nucleus, PML body:Nucleus, nucleoplasm",1
Nucleus:Nucleus:Nucleus:Nucleus:Nucleus,1
Nucleus:Nucleus lamina,1
Nucleus:Nucleus:Nucleus:Cytoplasm:Nucleus,1
Nucleus:Nucleus:Nucleus:Cytoplasm:Cytoplasm:Cytoplasm,1
"Nucleus:Nucleus lamina:Nucleus, nucleoplasm:Chromosome, centromere",1
"Nucleus:Nucleus lamina:Nucleus, nucleoplasm:Chromosome, centromere:Cytoplasmic vesicle, phagosome lumen:Cell membrane",1
"Nucleus:Nucleus:Nucleus speckle:Nucleus:Nucleus speckle:Nucleus:Nucleus, nucleoplasm:Nucleus, nucleoplasm:Nucleus, nucleoplasm",1
Nucleus:Nucleus:Nucleus speckle:Nucleus speckle,1
"Nucleus:Nucleus, nucleoplasm:Nucleus matrix:Chromosome:Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cell cortex:Cell membrane:Lateral cell membrane",1
Cell membrane:Basal cell membrane:Cell junction:Secreted,1
"Nucleus:Nucleus, nucleoplasm:Nucleus envelope:Nucleus inner membrane:Nucleus, nuclear pore complex:Chromosome:Chromosome, centromere, kinetochore",1
"Nucleus:Nucleus, nucleolus:Cytoplasm, cell cortex:Cytoplasm, cytoskeleton",1
"Nucleus:Nucleus, nucleoplasm:Chromosome, telomere",1
"Nucleus:Nucleus, nucleolus:Nucleus:Nucleus, nucleolus:Nucleus:Nucleus, nucleolus",1
"Cell membrane:Apical cell membrane:Endomembrane system:Cytoplasm, perinuclear region",1
"Nucleus:Nucleus, nucleolus:Chromosome, centromere:Chromosome:Cytoplasm, perinuclear region:Perikaryon:Cytoplasm, Cytoplasmic ribonucleoprotein granule:Cytoplasm, Stress granule:Cell projection, neuron projection:Cell projection, dendrite:Cell projection, dendritic spine:Cell projection, growth cone:Cell projection, filopodium:Cell projection, filopodium tip:Cell projection, axon:Synapse:Synapse, synaptosome:Postsynaptic density:Presynaptic cell membrane:Cell membrane",1
"Nucleus:Nucleus, nucleolus:Chromosome, telomere",1
"Nucleus:Nucleus, nucleolus:Nucleus, nucleoplasm:Cytoplasm",1
"Nucleus:Nucleus, nucleolus:Nucleus, gem:Nucleus, Cajal body:Cytoplasm, perinuclear region:Cytoplasm:Cell projection, axon:Cell projection, growth cone",1
"Nucleus:Nucleus, nucleolus:Nucleus, PML body",1
"Nucleus:Nucleus, nucleolus:Chromosome:Nucleus, nucleoplasm",1
"Nucleus:Nucleus, nucleolus:Nucleus speckle:Cytoplasm",1
"Nucleus:Nucleus, nucleoplasm:Microsome:Cytoplasm",1
"Nucleus:Nucleus, nucleolus:Nucleus matrix:Cytoplasm, cytoskeleton:Cytoplasm",1
"Nucleus:Nucleus, nucleolus:Cytoplasm, cytoskeleton, spindle pole:Midbody:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Chromosome",1
"Nucleus:Nucleus, nucleolus:Nucleus matrix:Cytoplasm, cytoskeleton",1
"Nucleus:Nucleus, nucleolus:Cytoplasm, cytoskeleton:Cell membrane",1
Cell membrane:Apical cell membrane:Membrane raft:Golgi apparatus,1
"Nucleus:Nucleus, nucleolus:Cytoplasm:Cell projection, cilium, photoreceptor outer segment",1
"Nucleus:Nucleus, nucleolus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Chromosome, centromere, kinetochore:Chromosome, centromere",1
"Nucleus:Nucleus, nucleolus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole:Chromosome, centromere, kinetochore:Chromosome, centromere:Cytoplasm:Nucleus:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",1
"Nucleus:Nucleus, nucleolus:Cytoplasm:Cytoplasmic vesicle, clathrin-coated vesicle:Recycling endosome",1
"Nucleus:Nucleus, nucleolus:Cell projection, cilium:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole:Cell projection, cilium, flagellum:Cytoplasm, cytoskeleton, cilium axoneme",1
"Nucleus:Nucleus, nucleoplasm:Chromosome, telomere:Cytoplasm",1
"Nucleus:Nucleus, nucleolus:Cell membrane",1
"Nucleus:Nucleus, nuclear pore complex",1
Cell membrane:Basal cell membrane:Cell junction,1
"Nucleus:Nucleus, Cajal body:Cytoplasm, cytosol",1
Cell membrane:Basal cell membrane:Basolateral cell membrane:Apical cell membrane,1
"Nucleus:Nucleus, nucleoplasm:Cytoplasm:Cytoplasmic granule:Secreted, extracellular exosome:Nucleus:Cytoplasm",1
"Nucleus:Nucleus, PML body:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Chromosome, centromere:Cytoplasm",1
"Nucleus:Nucleus, nucleoplasm:Cytoplasm:Cytoplasmic granule:Secreted, extracellular exosome",1
"Nucleus:Nucleus, PML body:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center:Chromosome, centromere:Cytoplasm, cytoskeleton",1
"Nucleus:Nucleus, PML body:Cytoplasm:Membrane:Cell membrane:Cytoplasm, cytoskeleton, spindle:Cytoplasm, cytoskeleton, spindle pole:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cell projection, dendrite:Cell projection, dendritic spine:Postsynaptic density",1
"Nucleus:Nucleus, PML body:Nucleus, nuclear body:Cytoplasm",1
"Nucleus:Nucleus, nucleoplasm:Cytoplasm:Cytoplasm, cytosol:Lysosome membrane",1
"Nucleus:Nucleus, PML body:Nucleus, nuclear body:Cytoplasm:Nucleus",1
"Nucleus:Nucleus, PML body:Nucleus, nucleolus:Cytoplasm:Cytoplasm",1
"Nucleus:Nucleus, nucleoplasm:Cytoplasm, perinuclear region:Cytoplasm:Nucleus, nucleolus",1
"Nucleus:Nucleus, PML body:Nucleus:Cytoplasm:Nucleus:Nucleus:Nucleus, PML body:Nucleus",1
"Nucleus:Nucleus, nucleoplasm:Cytoplasm, cytoskeleton, spindle:Cytoplasm:Lipid droplet:Cytoplasm:Nucleus",1
Cell membrane:Apical cell membrane:Cytoplasmic vesicle membrane:Microsome:Cell membrane:Apical cell membrane:Basolateral cell membrane:Cell membrane:Cell membrane,1
Cell membrane:Apical cell membrane:Cytoplasmic vesicle membrane:Microsome:Cell membrane:Apical cell membrane:Cell membrane:Cell membrane,1
"Nucleus:Nucleus, nucleoplasm:Chromosome:Chromosome, telomere",1
"Nucleus:Nucleus, nuclear body:Cytoplasmic granule:Cytoplasm",1
"Nucleus:Nucleus envelope:Chromosome:Chromosome, centromere, kinetochore:Cytoplasm, cytoskeleton, spindle:Cytoplasm",1
"Nucleus:Nucleus envelope:Chromosome, telomere",1
Nucleus:Prospore membrane,1
"Peroxisome matrix:Cytoplasm, cytosol:Peroxisome matrix:Peroxisome matrix",1
Nucleus:Cytoplasm:Nucleus:Nucleus:Nucleus,1
Nucleus:Cytoplasm:Nucleus:Nucleus:Nucleus:Nucleus:Cytoplasm:Cytoplasm,1
"Cell membrane, sarcolemma:Golgi apparatus:Cell projection, dendrite:Cytoplasm, cytoskeleton",1
Peroxisome membrane:Cytoplasm,1
Nucleus:Cytoplasm:Photoreceptor inner segment,1
"Nucleus:Cytoplasm:Plastid, chloroplast stroma:Mitochondrion",1
Nucleus:Cytoplasm:Postsynaptic cell membrane,1
Peroxisome matrix:Mitochondrion outer membrane,1
Peroxisome matrix:Mitochondrion,1
"Peroxisome matrix:Cytoplasm, cytosol:Nucleus",1
Periplasm:Cytoplasm:Mitochondrion,1
"Nucleus:Cytoplasm:Secreted, extracellular exosome:Nucleus:Cytoplasm:Secreted, extracellular exosome:Nucleus:Cytoplasm:Secreted, extracellular exosome",1
"Cell membrane, sarcolemma:Sarcoplasmic reticulum membrane:Nucleus",1
"Cell membrane:Cell junction, gap junction:Cytoplasm:Lateral cell membrane:Apicolateral cell membrane",1
Nucleus:Cytoplasm:Secreted:Chromosome:Cell membrane:Endosome:Endoplasmic reticulum-Golgi intermediate compartment,1
"Cell membrane:Cell junction, gap junction:Cytoplasm:Apical cell membrane:Apicolateral cell membrane:Basolateral cell membrane:Lateral cell membrane",1
Nucleus:Cytoplasm:Secreted:Secreted:Cytoplasm:Nucleus,1
Cell membrane:Apical cell membrane:Apical cell membrane,1
"Cell membrane:Cell junction, gap junction:Basolateral cell membrane",1
"Cell membrane:Cell junction, adherens junction:Secreted",1
Nucleus:Cytoplasm:Nucleus:Nucleus:Cytoplasm,1
"Nucleus:Cytoplasm:Nucleus:Nucleus envelope:Cytoplasm:Cytoplasm, cytoskeleton",1
"Cell membrane, sarcolemma:Endoplasmic reticulum membrane:Membrane",1
Peroxisome membrane:Mitochondrion outer membrane,1
Peroxisome:Glyoxysome membrane,1
"Cell membrane, sarcolemma:Cytoplasm, myofibril, sarcomere, Z line",1
Peroxisome:Cytoplasm:Secreted,1
Peroxisome:Cytoplasm:Nucleus,1
Peroxisome:Cytoplasm:Mitochondrion:Peroxisome,1
Peroxisome:Cytoplasm:Mitochondrion:Endoplasmic reticulum:Mitochondrion:Peroxisome,1
"Nucleus:Cytoplasm:Nucleus, nucleoplasm:Nucleus, nucleoplasm",1
Nucleus:Cytoplasm:Nucleus:Cell membrane,1
"Peroxisome:Cytoplasm, cytosol",1
"Peroxisome:Cytoplasm, cytoskeleton",1
Nucleus:Cytoplasm:Nucleus:Cytoplasm:Cytoplasm,1
"Cell membrane:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane:Membrane",1
Nucleus:Cytoplasm:Nucleus:Cytoplasm:Cytoplasm:Nucleus:Cytoplasm,1
Nucleus:Cytoplasm:Nucleus:Cytoplasm:Mitochondrion outer membrane,1
Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus speckle:Mitochondrion,1
Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Cytoplasm,1
Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Cytoplasm,1
"Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Cytoplasm:Nucleus:Cell projection, filopodium:Cell projection, growth cone:Cell projection, dendrite:Cell membrane, sarcolemma:Cytoplasm",1
Nucleus:Cytoplasm:Nucleus:Mitochondrion:Nucleus:Nucleus,1
"Nucleus:Cytoplasmic vesicle:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Peroxisome matrix",1
Cell membrane:Apical cell membrane:Basal cell membrane:Endoplasmic reticulum,1
"Nucleus:Sarcoplasmic reticulum:Cytoplasm:Cytoplasm, perinuclear region:Cytoplasm, myofibril, sarcomere, M line",1
Parasitophorous vacuole:Secreted:Secreted:Secreted:Secreted:Cell membrane:Secreted:Secreted,1
Nucleus:Melanosome:Cytoplasm,1
"Perikaryon:Cell projection, cilium:Cell projection, dendrite",1
"Perikaryon:Cell projection, axon:Synapse:Cell junction, adherens junction",1
Nucleus:Membrane:Cytoplasm,1
"Perikaryon:Cell projection, axon:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm",1
Nucleus:Membrane:Membrane:Membrane,1
"Nucleus:Microsome:Nucleus, nucleoplasm:Cytoplasm",1
"Perikaryon:Cell projection, axon:Cell projection, dendrite:Synapse:Cytoplasm:Cytoplasm, perinuclear region:Synapse:Perikaryon:Cell projection, axon:Synapse",1
"Perikaryon:Cell membrane:Cell projection, axon:Cell projection, dendrite:Cytoplasm:Nucleus",1
"Parasitophorous vacuole:Host cell membrane:Host cytoplasm, host cytoskeleton:Host cytoplasm",1
"Cell membrane:Apical cell membrane:Basolateral cell membrane:Cell projection, filopodium:Cell junction",1
Parasitophorous vacuole membrane:Vacuole,1
Parasitophorous vacuole lumen:Parasitophorous vacuole membrane,1
"Cell membrane:Basolateral cell membrane:Endoplasmic reticulum membrane:Postsynaptic density:Synapse:Cell membrane, sarcolemma:Apical cell membrane:Cell junction:Cytoplasm",1
Nucleus:Symplast,1
Nucleus:Mitochondrion:Chromosome,1
"Nucleus:Mitochondrion:Chromosome, centromere",1
Nucleus:Mitochondrion:Cytoplasm,1
Cell membrane:Apical cell membrane:Basolateral cell membrane:Lysosome membrane,1
"Nucleus:Secreted, extracellular exosome",1
"Perikaryon:Cell projection, cilium:Cytoplasm:Perikaryon:Cell projection, dendrite:Cell projection, axon:Cell projection, cilium:Cytoplasm",1
"Nucleus:Golgi apparatus:Cell projection, cilium, flagellum:Cytoplasm, cytoskeleton, spindle:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole",1
"Perikaryon:Cell projection, dendrite",1
"Perikaryon:Cell projection, dendrite:Cell projection, axon:Cell projection, cilium",1
Cell membrane:Bud:Bud neck:Cell projection,1
Cell membrane:Bud tip:Vacuole lumen,1
Nucleus:Endoplasmic reticulum membrane:Mitochondrion membrane,1
Nucleus:Endoplasmic reticulum membrane:Nucleus,1
Cell membrane:Bud neck:Cytoplasmic vesicle membrane,1
Perikaryon:Synapse:Endomembrane system:Mitochondrion membrane:Cytoplasm,1
Perikaryon:Nucleus:Synapse,1
Nucleus:Endoplasmic reticulum:Golgi apparatus,1
"Perikaryon:Nucleus:Cell projection, dendrite:Cell projection, axon:Synapse:Cytoplasm, cell cortex:Cytoplasm",1
Nucleus:Endoplasmic reticulum:Nucleus:Cytoplasm:Endoplasmic reticulum membrane:Endoplasmic reticulum membrane:Membrane,1
Perikaryon:Nucleus,1
"Perikaryon:Early endosome:Endosome, multivesicular body:Presynapse:Presynaptic endosome:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle:Cytoplasm, cytosol:Cytoplasm:Cytoplasm, cell cortex",1
Perikaryon:Cytoplasm,1
