subcellular_location,count
"Membrane:Secreted, extracellular space, extracellular matrix, basement membrane",34
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole",34
Cytoplasm:Membrane:Nucleus,33
Mitochondrion inner membrane:Mitochondrion intermembrane space,33
Nucleus envelope,33
"Chromosome, centromere, kinetochore:Cytoplasm, cytoskeleton, spindle:Nucleus",33
"Cell membrane:Cytoplasm, cytosol",33
Membrane:Endoplasmic reticulum,33
"Cytoplasm, cell cortex",33
"Membrane, coated pit",32
"Cytoplasm, myofibril",32
Cytoplasmic vesicle membrane:Membrane,32
Cell membrane:Cytoplasmic vesicle membrane,32
Endoplasmic reticulum membrane:Mitochondrion membrane,32
"Cytoplasmic vesicle, secretory vesicle, acrosome",32
"Cytoplasm, cytoskeleton:Nucleus",31
"Cytoplasm, cytosol:Cytoplasm:Rough endoplasmic reticulum",31
"Cell projection, cilium, flagellum membrane",31
Cell membrane:Membrane raft,31
Endoplasmic reticulum membrane:Membrane:Microsome membrane,31
Cell membrane:Vacuole membrane,30
Cell membrane:Cytoplasm:Membrane:Nucleus,30
"Plastid, chloroplast:Plastid, amyloplast",30
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle",30
"Nucleus, nucleolus:Chromosome",30
"Nucleus:Nucleus, PML body",30
Cell membrane:Golgi apparatus membrane,30
"Plastid, chloroplast, plastoglobule",29
Cell surface,29
Cytoplasm:Endosome membrane,29
Cytoplasm:Preautophagosomal structure,29
"Nucleus speckle:Nucleus, nucleoplasm",29
Cytoplasm:Nucleus:Secreted,29
Mitochondrion inner membrane:Mitochondrion outer membrane,29
"Vacuole, aleurone grain",28
"Nucleus, nuclear pore complex:Nucleus membrane:Nucleus membrane",28
"Mitochondrion:Plastid, chloroplast",28
"Chromosome, centromere:Nucleus",28
"Nucleus:Nucleus, nucleoplasm",28
"Cytoplasm:Nucleus, nucleolus:Nucleus",28
Nucleus:Endoplasmic reticulum,28
Cytoplasm:Nucleus:Cytoplasm,28
Membrane:Endoplasmic reticulum membrane,27
Early endosome membrane,27
"Cell junction, adherens junction:Cell projection, rhabdomere",27
"Golgi apparatus, cis-Golgi network membrane",27
"Nucleus:Cytoplasm, cytoskeleton, spindle",27
Endoplasmic reticulum membrane:Nucleus,27
Membrane:Secreted,27
"Cytoplasm, cytoskeleton:Cell membrane",26
Cytoplasm:Nucleus:Membrane,26
Early endosome,26
"Cytoplasm, P-body:Nucleus",26
"Nucleus:Cytoplasm, perinuclear region",25
"Chromosome, centromere",25
"Membrane:Plastid, chloroplast outer membrane",25
Mitochondrion:Membrane,25
"Cell membrane:Cytoplasm, cytoskeleton, actin patch:Endosome membrane:Membrane",25
"Cytoplasm, cytoskeleton:Cytoplasm, cytosol:Nucleus",24
"Nucleus membrane:Nucleus, nuclear pore complex",24
Chromosome:Cytoplasm,24
"Secreted:Secreted, extracellular space, extracellular matrix",24
"Nucleus:Chromosome, centromere:Chromosome, centromere, kinetochore",24
"Cytoplasm, perinuclear region:Nucleus",24
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",24
"Cytoplasm:Nucleus:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",24
Endoplasmic reticulum membrane:Lipid droplet,24
"Cytoplasmic vesicle membrane:Membrane, coated pit:Membrane",24
"Cytoplasm:Cytoplasm, perinuclear region",24
Cytoplasmic granule,23
Secreted:Lysosome,23
Cell membrane:Early endosome,23
"Golgi apparatus, trans-Golgi network membrane:Membrane",23
Cytoplasm:Nucleus:Chromosome,23
"Cell membrane, sarcolemma:Cytoplasm, cytoskeleton",23
Secreted:Cell surface,23
"Cytoplasm:Cytoplasm, cytosol",23
Cytoplasm:Endosome membrane:Membrane,23
"Cytoplasm:Cytoplasmic vesicle, COPI-coated vesicle membrane:Golgi apparatus membrane:Membrane",23
"Cytoplasmic vesicle, COPI-coated vesicle membrane",22
"Cell membrane:Cytoplasmic vesicle, secretory vesicle membrane:Membrane",22
"Mitochondrion:Cytoplasm, cytosol",22
Membrane:Mitochondrion,22
Cytoplasm:Lysosome,22
"Endoplasmic reticulum membrane:Endoplasmic reticulum-Golgi intermediate compartment membrane:Cytoplasmic vesicle, COPII-coated vesicle membrane",22
Bud neck,22
"Nucleus, nucleoplasm:Nucleus, nucleolus",22
"Cytoplasmic vesicle, COPII-coated vesicle membrane:Endoplasmic reticulum membrane:Golgi apparatus membrane:Membrane",22
"Cytoplasm, myofibril, sarcomere, Z line",21
"Nucleus:Nucleus, nucleolus:Cytoplasm",21
"Nucleus:Cytoplasm:Cytoplasm, perinuclear region",21
Cell membrane:Cell membrane,21
"Membrane:Plastid, chloroplast inner membrane",21
Preautophagosomal structure,21
"Cytoplasmic vesicle, autophagosome:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle:Golgi apparatus, trans-Golgi network:Late endosome:Membrane",21
Cytoplasm:Mitochondrion outer membrane,21
"Cell membrane:Cytoplasm, cytoskeleton",21
"Cell membrane:Secreted, extracellular space, apoplast",21
"Cell membrane:Secreted, extracellular space",21
Cytoplasm:Mitochondrion:Nucleus,21
Cytoplasm:Nucleus envelope,21
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus",21
"Endosome membrane:Golgi apparatus, trans-Golgi network membrane:Membrane",21
"Nucleus, PML body",20
"Golgi apparatus, cis-Golgi network:Endoplasmic reticulum",20
Cytoplasm:Cytoplasmic granule,20
Membrane:Mitochondrion intermembrane space,20
