uniprot_description,count
"Chlorophyll a-b binding protein, chloroplastic",86
Chloride channel protein,85
Glucuronosyltransferase,85
PRA1 family protein,85
Fructose-bisphosphate aldolase,84
Polypeptide N-acetylgalactosaminyltransferase,84
DNA polymerase,84
Na_H_Exchanger domain-containing protein,84
G-patch domain-containing protein,84
ATP-dependent Clp protease proteolytic subunit,84
Chitinase,83
Glutamate receptor,83
p-loop containing nucleoside triphosphate hydrolase superfamily protein,83
Ankyrin repeat family protein,83
STAS domain-containing protein,83
4HBT domain-containing protein,82
DB domain-containing protein,82
Rho-GAP domain-containing protein,82
AP complex subunit sigma,82
Integrase catalytic domain-containing protein,82
Annexin,82
USP domain-containing protein,82
2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,81
Protein Wnt,81
Serine/threonine kinase,81
RBR-type E3 ubiquitin transferase,81
Acyl carrier protein,81
Major facilitator superfamily protein,81
SANT domain-containing protein,81
B-like cyclin,80
"F-box domain containing protein, expressed",80
Endo/exonuclease/phosphatase domain-containing protein,80
ABC transporter permease,80
FYVE-type domain-containing protein,80
Diacylglycerol kinase,80
GLOBIN domain-containing protein,80
ENTH domain-containing protein,80
JmjC domain-containing protein,80
Fork-head domain-containing protein,79
Fungal_trans domain-containing protein,79
Aldedh domain-containing protein,79
Mitochondrial thiamine pyrophosphate carrier 1,79
Importin N-terminal domain-containing protein,79
ATP pyrophosphate-lyase,79
Bestrophin homolog,78
Odorant receptor,78
Exostosin domain-containing protein,78
Nucleoside diphosphate kinase,78
Conserved hypothetical phage protein,78
Copper transporter,78
Nodulin-like domain-containing protein,78
Bromo domain-containing protein,77
Nuclear receptor domain-containing protein,77
Myb-like domain-containing protein,77
Laccase,77
Poly [ADP-ribose] polymerase,77
Protein disulfide-isomerase,76
S-adenosyl-L-methionine-dependent methyltransferase superfamily protein,76
Alpha-galactosidase,76
Dof-type domain-containing protein,75
C6 finger domain transcription factor nscR,75
General transcription factor 2-related zinc finger protein,75
Phosphoglycerate kinase,75
Sodium/hydrogen exchanger,75
FCP1 homology domain-containing protein,75
Pectin lyase-like superfamily protein,74
Chromo domain-containing protein,74
Diacylglycerol O-acyltransferase,74
Usp domain-containing protein,74
"Kinesin, putative",74
UDP-glucuronosyltransferase,74
Endoglucanase,74
Oxysterol-binding protein,73
3-ketoacyl-CoA synthase,73
Pept_C1 domain-containing protein,73
Putative transporter,73
VOC domain-containing protein,73
ATP-dependent 6-phosphofructokinase,73
Putative zinc finger protein,73
"Heterokaryon incompatibility protein 6, OR allele",73
Hydroxyproline-rich glycoprotein family protein,72
Saposin B-type domain-containing protein,72
GDSL esterase/lipase,72
Kinase,71
HVA22-like protein,71
ADP/ATP translocase,70
Putative MYB DNA-binding domain superfamily protein,70
HAT transposon superfamily protein,70
DNA ligase,70
DH domain-containing protein,70
Ferritin,70
"Zinc finger protein, putative",70
Putative integral membrane protein,69
V-type proton ATPase subunit a,69
Superoxide dismutase,69
Beta-lactamase domain-containing protein,69
Thioredoxin,69
LysR family transcriptional regulator,69
GATA-type domain-containing protein,69
Mitochondrial pyruvate carrier,68
Procollagen-proline 4-dioxygenase,68
FAD_binding_3 domain-containing protein,68
Poly(A)-specific ribonuclease,68
Peptidase_M14 domain-containing protein,68
Zinc metalloproteinase,68
MSP domain-containing protein,68
Phosphate transporter,68
Malic enzyme,68
Phospho-2-dehydro-3-deoxyheptonate aldolase,68
Putative transport protein,67
LisH domain-containing protein,67
Alpha-mannosidase,67
CTP synthase,67
Glutathione transferase,67
"Bacterial regulatory s, tetR family protein",67
DUF19 domain-containing protein,67
"Mitochondrial carrier protein, putative",66
Exonuclease domain-containing protein,66
Protein yippee-like,66
S-protein homolog,66
Protein phosphatase,66
Serine hydroxymethyltransferase,66
Pectate lyase,66
Sulfhydryl oxidase,66
"Variant surface glycoprotein (VSG), putative",65
Protein-serine/threonine kinase,65
Amino_oxidase domain-containing protein,65
UBX domain-containing protein,65
PX domain-containing protein,65
Histone H3,65
Importin subunit alpha,65
Elongation of very long chain fatty acids protein,65
Leucine-rich repeat protein kinase family protein,65
"Serpentine Receptor, class BC (Class B-like)",65
Bidirectional sugar transporter SWEET,65
LysM domain-containing protein,64
"Mannan endo-1,4-beta-mannosidase",64
TLC domain-containing protein,64
Aurora kinase,64
Trehalase,64
Potassium transporter,64
"Uncharacterized protein, isoform D",64
FLZ-type domain-containing protein,64
G_PROTEIN_RECEP_F3_4 domain-containing protein,64
PUM-HD domain-containing protein,64
DAO domain-containing protein,63
COesterase domain-containing protein,63
Protein kinase C,63
"Serpentine Receptor, class Z",63
SWIM-type domain-containing protein,63
BPTI/Kunitz inhibitor domain-containing protein,63
FBA_2 domain-containing protein,62
Serine/threonine protein kinase,62
Histone H4,62
Putative hydrolase,62
Chitin synthase,62
Transposase,62
Phospholipase D,62
Arf-GAP domain-containing protein,62
CYtochrome P450 family,62
G domain-containing protein,62
Acyl-coenzyme A oxidase,62
Prohibitin,62
Putative cytochrome P450 superfamily protein,62
MYB transcription factor,62
IS600 ORF2,62
Glucose-6-phosphate 1-dehydrogenase,62
60S ribosomal protein L29,61
Gamma-glutamylcyclotransferase,61
Acyl-CoA dehydrogenase,61
FAS1 domain-containing protein,61
Alcohol dehydrogenase,61
Receptor expression-enhancing protein,61
Auxin-induced protein,61
Glycerol kinase,61
S-adenosylmethionine synthase,61
IPPc domain-containing protein,61
Patatin,61
Polynucleotide adenylyltransferase,61
Inorganic diphosphatase,61
Neuropeptide-Like Protein,61
Gamma-tubulin complex component,61
DUF223 domain-containing protein,61
Epidermal patterning factor-like protein,61
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,61
"Serpentine Receptor, class I",61
Phosphatidate cytidylyltransferase,61
Dimer_Tnp_hAT domain-containing protein,60
Putative lipoprotein,60
HTH cro/C1-type domain-containing protein,60
Tyrosine--tRNA ligase,60
START domain-containing protein,60
Formin-like protein,60
acidPPc domain-containing protein,60
"Variant surface glycoprotein (VSG, atypical), putative",60
PNPLA domain-containing protein,60
MYND-type domain-containing protein,59
UTP--glucose-1-phosphate uridylyltransferase,59
Adenylate kinase,59
Citrate synthase,59
Methionine aminopeptidase,59
NmrA domain-containing protein,59
Probable major facilitator superfamily (MFS) transporter,59
CMP/dCMP-type deaminase domain-containing protein,59
"Serpentine Receptor, class T",59
Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,59
"NB-ARC domain containing protein, expressed",59
"Amino acid transporter, putative",59
Aspartate aminotransferase,59
Isocitrate dehydrogenase [NADP],58
Glutamine synthetase,58
V-type proton ATPase proteolipid subunit,58
Ammonium transporter,58
Serpentine receptor class gamma,58
Amidase,58
